team,num,name,type,dob,height,weight,club
FWC,1,Official Emblem,fwc special · foil,,,,
FWC,2,Official Emblem,fwc special · foil,,,,
FWC,3,Official Mascots,fwc special · foil,,,,
FWC,4,Official Slogan,fwc special · foil,,,,
FWC,5,Official Ball,fwc special · foil,,,,
FWC,6,Canada - Host Countries & Cities,fwc special · foil,,,,
FWC,7,Mexico - Host Countries & Cities,fwc special · foil,,,,
FWC,8,USA - Host Countries & Cities,fwc special · foil,,,,
FWC,9,Italy 1934 - World Cup History,fwc special · foil,,,,
FWC,10,Uruguay 1950 - World Cup History,fwc special · foil,,,,
FWC,11,West Germany 1954 - World Cup History,fwc special · foil,,,,
FWC,12,Brazil 1962 - World Cup History,fwc special · foil,,,,
FWC,13,West Germany 1974 - World Cup History,fwc special · foil,,,,
FWC,14,Argentina 1986 - World Cup History,fwc special · foil,,,,
FWC,15,Brazil 1994 - World Cup History,fwc special · foil,,,,
FWC,16,Brazil 2002 - World Cup History,fwc special · foil,,,,
FWC,17,Italy 2006 - World Cup History,fwc special · foil,,,,
FWC,18,Germany 2014 - World Cup History,fwc special · foil,,,,
FWC,19,Argentina 2022 - World Cup History,fwc special · foil,,,,
ALG,1,Team Logo,team logo · foil,,,,
ALG,2,Alexis Guendouz,player,1996-01-26,,,MC Alger
ALG,3,Ramy Bensebaini,player,1995-04-16,187,,Borussia Dortmund
ALG,4,Youcef Atal,player,1996-05-17,176,,[[Al Sadd SC
ALG,5,Rayan Aït-Nouri,player,2001-06-06,180,,[[Manchester City F.C.
ALG,6,Mohamed Amine Tougai,player,2000-01-22,191,,[[Espérance Sportive de Tunis
ALG,7,Aïssa Mandi,player,1991-10-22,184,,[[Lille OSC
ALG,8,Ismael Bennacer,player,1997-12-01,175,,GNK Dinamo Zagreb
ALG,9,Houssem Aquar,player,1998-06-30,175,,Al-Ittihad Club (Jeddah)
ALG,10,Hicham Boudaoui,player,1999-09-23,175,,[[OGC Nice
ALG,11,Ramiz Zerrouki,player,1998-05-26,183,,[[FC Twente
ALG,12,Nabil Bentalab,player,,,,
ALG,13,Team Photo,team photo,,,,
ALG,14,Farés Chaibi,player,,,,
ALG,15,Riyad Mahrez,player,1991-02-21,179,,[[Al-Ahli Saudi FC
ALG,16,Said Benrahma,player,1995-08-10,172,,Neom SC
ALG,17,Anis Hadj Moussa,player,2002-02-11,176,,Feyenoord
ALG,18,Amine Gouiri,player,2000-02-16,181,,[[Olympique de Marseille
ALG,19,Baghdad Bounedjah,player,1991-11-24,185,,[[Al-Shamal SC
ALG,20,Mohammed Amoura,player,,,,
ARG,1,Team Logo,team logo · foil,,,,
ARG,2,Emiliano Martinez,player,,,,
ARG,3,Nahuel Molina,player,1998-04-06,175,,Atlético Madrid
ARG,4,Cristian Romero,player,1998-04-27,185,,Tottenham Hotspur F.C.
ARG,5,Nicolas Otamendi,player,1988-02-12,183,,S.L. Benfica
ARG,6,Nicolas Tagliafico,player,1992-08-31,170,,Olympique Lyonnais
ARG,7,Leonardo Balerdi,player,1999-01-26,187,,Marseille
ARG,8,Enzo Fernandez,player,2001-01-17,178,,Chelsea
ARG,9,Alexis Mac Allister,player,1998-12-24,176,,Liverpool
ARG,10,Rodrigo De Paul,player,1994-05-24,180,,Inter Miami
ARG,11,Exequiel Palacios,player,1998-10-05,177,,Bayer Leverkusen
ARG,12,Leandro Paredes,player,1994-06-29,180,,Boca Juniors
ARG,13,Team Photo,team photo,,,,
ARG,14,Nico Paz,player,2004-01-09,177,72,Como
ARG,15,Franco Mastantuono,player,2007-03-14,180,75,Real Madrid
ARG,16,Nico Gonzalez,player,1997-12-06,182,79,Barcelona
ARG,17,Lionel Messi,player,1987-06-24,170,,Inter Miami
ARG,18,Lautaro Martinez,player,1997-08-22,174,,Inter Milan
ARG,19,Julian Alvarez,player,2000-01-31,173,,Atlético Madrid
ARG,20,Giuliano Simeone,player,1999-07-07,186,78,Atlético Madrid
AUS,1,Team Logo,team logo · foil,,,,
AUS,2,Mathew Ryan,player,1992-04-08,184,,Levante
AUS,3,Joe Gauci,player,2000-07-04,194,,Aston Villa
AUS,4,Harry Souttar,player,1998-10-22,198,,Leicester City
AUS,5,Alessandro Circati,player,2003-10-10,,,Parma
AUS,6,Jordan Bos,player,2002-10-29,,,Feyenoord
AUS,7,Aziz Behich,player,1990-12-16,170,,Melbourne City
AUS,8,Cameron Burgess,player,1995-10-21,194,,Swansea City
AUS,9,Lewis Miller,player,,,,
AUS,10,Milos Degenek,player,1994-04-28,187,,APOEL
AUS,11,Jackson Irvine,player,1993-03-07,189,,FC St. Pauli
AUS,12,Riley McGree,player,1998-11-02,178,,Middlesbrough
AUS,13,Team Photo,team photo,,,,
AUS,14,Aiden O'Neill,player,1998-07-04,,,New York City FC
AUS,15,Connor Metcalfe,player,1999-11-05,183,,FC St. Pauli
AUS,16,Patrick Yazbek,player,2002-04-05,185,,Nashville SC
AUS,17,Craig Goodwin,player,1991-12-16,183,,Adelaide United FC
AUS,18,Kusini Vengi,player,,,,
AUS,19,Nestory Irankunda,player,2006-02-09,,,Watford
AUS,20,Mohamed Touré,player,,,,
AUT,1,Team Logo,team logo · foil,,,,
AUT,2,Alexander Schlager,player,1996-02-01,184,,Red Bull Salzburg
AUT,3,Patrick Pentz,player,1997-01-02,183,,Brøndby
AUT,4,David Alaba,player,1992-06-24,180,,Real Madrid
AUT,5,Kevin Danso,player,1998-09-19,190,,Tottenham Hotspur
AUT,6,Philipp Lienhart,player,1996-07-11,189,,SC Freiburg
AUT,7,Stefan Posch,player,1997-05-14,190,,Mainz 05
AUT,8,Phillipp Mwene,player,1994-01-29,170,,Mainz 05
AUT,9,Alexander Prass,player,2001-05-26,180,,TSG Hoffenheim
AUT,10,Xaver Schlager,player,1997-09-28,174,,RB Leipzig
AUT,11,Marcel Sabitzer,player,1994-03-17,178,,Borussia Dortmund
AUT,12,Konrad Laimer,player,1997-05-27,180,,Bayern Munich
AUT,13,Team Photo,team photo,,,,
AUT,14,Florian Grillitsch,player,1995-08-07,187,,SC Braga
AUT,15,Nicolas Seiwald,player,2001-05-04,180,,RB Leipzig
AUT,16,Romano Schmid,player,2000-01-27,168,,SV Werder Bremen
AUT,17,Patrick Wimmer,player,2001-05-30,182,,VfL Wolfsburg
AUT,18,Christoph Baumgartner,player,1999-08-01,180,,RB Leipzig
AUT,19,Michael Gregoritsch,player,1994-04-18,193,,FC Augsburg (on loan from Brøndby IF)
AUT,20,Marko Arnautović,player,1989-04-19,192,,Red Star Belgrade
BEL,1,Team Logo,team logo · foil,,,,
BEL,2,Thibaut Courtois,player,1992-05-11,200,,[[Real Madrid CF
BEL,3,Arthur Theate,player,2000-05-25,185,,Eintracht Frankfurt
BEL,4,Timothy Castagne,player,1995-12-05,185,,[[Fulham F.C.
BEL,5,Zeno Debast,player,2003-10-24,191,,Sporting CP
BEL,6,Brandon Mechele,player,1993-01-28,190,,[[Club Brugge KV
BEL,7,Maxim De Cuyper,player,2000-12-22,182,,[[Brighton & Hove Albion F.C.
BEL,8,Thomas Meunier,player,1991-09-12,191,,[[Lille OSC
BEL,9,Youri Tielemans,player,1997-05-07,176,,Aston Villa
BEL,10,Amadou Onana,player,2001-08-16,195,,[[Aston Villa F.C.
BEL,11,Nicolas Raskin,player,2001-02-23,179,,Rangers F.C.
BEL,12,Alexis Saelemaekers,player,1999-06-27,180,,AC Milan
BEL,13,Team Photo,team photo,,,,
BEL,14,Hans Vanaken,player,1992-08-24,195,,Club Brugge KV
BEL,15,Kevin De Bruyne,player,1991-06-28,181,,SSC Napoli
BEL,16,Jérémy Doku,player,2002-05-27,173,,Manchester City
BEL,17,Charles De Ketelaere,player,2001-03-10,193,,Atalanta
BEL,18,Leandro Trossard,player,1994-12-04,172,,Arsenal
BEL,19,Loïs Openda,player,2000-02-16,175,,Juventus
BEL,20,Romelu Lukaku,player,1993-05-13,191,,Napoli
BIH,1,Team Logo,team logo · foil,,,,
BIH,2,Nikola Vasilj,player,1995-12-02,193,,FC St. Pauli
BIH,3,Amer Dedic,player,,,,
BIH,4,Sead Kolasinac,player,1993-06-20,183,,Atalanta
BIH,5,Tarik Muharemovic,player,2003-02-28,187,,Sassuolo
BIH,6,Nihad Mujakic,player,,,,
BIH,7,Nikola Katic,player,1986-06-01,,,
BIH,8,Amir Hadziahmetovic,player,1997-03-08,179,,Hull City
BIH,9,Benjamin Tahirovic,player,2003-03-03,191,,Brøndby
BIH,10,Armin Gigovic,player,2002-04-06,187,,Young Boys
BIH,11,Ivan Sunjic,player,1996-10-09,184,,Pafos
BIH,12,Ivan Basic,player,,,,
BIH,13,Team Photo,team photo,,,,
BIH,14,Dzenis Burnic,player,1998-05-22,181,,Karlsruher SC
BIH,15,Esmir Bajraktarevic,player,2005-03-10,175,,PSV
BIH,16,Amar Memic,player,2001-01-20,176,,Viktoria Plzeň
BIH,17,Ermedin Demirovic,player,1998-03-25,185,,VfB Stuttgart
BIH,18,Edin Dzeko,player,1986-03-17,193,,Schalke 04
BIH,19,Samed Bazdar,player,2004-01-31,186,,Jagiellonia Białystok
BIH,20,Haris Tabakovic,player,1994-06-20,196,,Borussia Mönchengladbach
BRA,1,Team Logo,team logo · foil,,,,
BRA,2,Alisson,player,1992-10-02,193,,Liverpool
BRA,3,Bento,player,,,,
BRA,4,Marquinhos,player,,,,
BRA,5,Éder Militão,player,1998-01-18,186,,Real Madrid
BRA,6,Gabriel Magalhães,player,1997-12-19,190,,Arsenal
BRA,7,Danilo,player,,,,
BRA,8,Wesley,player,,,,
BRA,9,Lucas Paquetá,player,1997-08-27,180,,Flamengo
BRA,10,Casemiro,player,1992-02-23,185,,Manchester United
BRA,11,Bruno Guimarães,player,1997-11-16,182,,Newcastle United
BRA,12,Luiz Henrique,player,,,,
BRA,13,Team Photo,team photo,,,,
BRA,14,Vinicius Júnior,player,2000-07-12,176,,Real Madrid
BRA,15,Rodrygo,player,2001-01-09,174,,Real Madrid
BRA,16,João Pedro,player,,,,
BRA,17,Matheus Cunha,player,1999-05-27,183,,Manchester United
BRA,18,Gabriel Martinelli,player,2001-06-18,178,,Arsenal
BRA,19,Raphinha,player,1996-12-14,176,,Barcelona
BRA,20,Estévão,player,,,,
CAN,1,Team Logo,team logo · foil,,,,
CAN,2,Dayne St.Clair,player,,,,
CAN,3,Alphonso Davies,player,2000-11-02,185,,Bayern Munich
CAN,4,Alistair Johnston,player,1998-10-08,180,,Celtic
CAN,5,Samuel Adekugbe,player,1995-01-16,178,,Vancouver Whitecaps FC
CAN,6,Riche Larvea,player,,,,
CAN,7,Derek Cornelius,player,1997-11-25,187,,[[Rangers F.C.
CAN,8,Moïse Bombito,player,2000-03-30,191,,[[OGC Nice
CAN,9,Kamal Miller,player,1997-05-16,,,Portland Timbers
CAN,10,Stephen Eustáquio,player,1996-12-21,178,,Los Angeles FC
CAN,11,Ismaël Koné,player,2002-06-16,,,[[US Sassuolo Calcio
CAN,12,Jonathan Osorio,player,1992-06-12,,,Toronto FC
CAN,13,Team Photo,team photo,,,,
CAN,14,Jacob Shaffelburg,player,1999-11-26,178,,Los Angeles FC
CAN,15,Mathieu Choinière,player,1999-02-07,175,,Los Angeles FC
CAN,16,Niko Sigur,player,2003-09-09,180,,[[HNK Hajduk Split
CAN,17,Tajon Buchanan,player,1999-02-08,183,,Villarreal
CAN,18,Liam Millar,player,1999-09-27,176,,Hull City
CAN,19,Cyle Larin,player,1995-04-17,188,,Southampton
CAN,20,Jonathan David,player,2000-01-14,178,,Juventus
CIV,1,Team Logo,team logo · foil,,,,
CIV,2,Yahia Fofana,player,2000-08-21,194,,Çaykur Rizespor
CIV,3,Ghislain Konan,player,1995-12-27,178,,Gil Vicente
CIV,4,Wilfried Singo,player,2000-12-25,190,,Galatasaray
CIV,5,Odilon Kossounou,player,2001-01-04,191,,Atalanta
CIV,6,Evan Ndicka,player,1999-08-20,192,,Roma
CIV,7,Willy Boly,player,1991-02-03,195,,Nottingham Forest
CIV,8,Emmanuel Agbadou,player,1997-06-17,192,,Beşiktaş
CIV,9,Ousmane Diomande,player,2003-12-04,,,Sporting CP
CIV,10,Franck Kessie,player,1996-12-19,183,,Al-Ahli
CIV,11,Seko Fofana,player,1995-05-07,185,,Porto
CIV,12,Ibrahim Sangare,player,,,,
CIV,13,Team Photo,team photo,,,,
CIV,14,Jean-Philippe Gbamin,player,1995-09-25,186,,Metz
CIV,15,Amad Diallo,player,2002-07-11,173,,Manchester United
CIV,16,Sébastien Haller,player,1994-06-22,190,,Utrecht
CIV,17,Simon Adingra,player,2002-01-01,175,,Monaco
CIV,18,Yan Diomande,player,2006-11-14,182,,RB Leipzig
CIV,19,Evann Guessand,player,2001-07-01,185,,Crystal Palace
CIV,20,Oumar Diakite,player,2003-12-20,182,,Cercle Brugge
COD,1,Team Logo,team logo · foil,,,,
COD,2,Lionel Mpasi,player,1994-08-01,182,,Le Havre
COD,3,Aaron Wan-Bissaka,player,1997-11-26,,,West Ham United
COD,4,Axel Tuanzebe,player,1997-11-14,185,,Burnley
COD,5,Arthur Masuaku,player,1993-11-07,179,,Lens
COD,6,Chancel Mbemba,player,1994-08-08,182,,Lille
COD,7,Joris Kayembe,player,1994-08-08,180,,Genk
COD,8,Charles Pickel,player,1997-05-15,185,,Espanyol
COD,9,Ngal'ayel Mukau,player,2004-11-03,188,,Lille
COD,10,Edo Kayembe,player,1998-06-03,183,,Watford
COD,11,Samuel Moutoussamy,player,1996-08-12,176,,Atromitos
COD,12,Noah Sadiki,player,2004-12-17,173,,Sunderland
COD,13,Team Photo,team photo,,,,
COD,14,Théo Bongonda,player,1995-11-20,177,,Spartak Moscow
COD,15,Meschak Elia,player,1997-08-06,173,,Alanyaspor
COD,16,Yoane Wissa,player,1996-09-03,176,,Newcastle United
COD,17,Brian Cipenga,player,1998-03-11,172,,Castellón
COD,18,Fiston Mayele,player,1994-06-28,180,,Pyramids
COD,19,Cédric Bakambu,player,1991-04-11,182,,Betis
COD,20,Nathanaël Mbuku,player,2002-03-16,170,,Montpellier
COL,1,Team Logo,team logo · foil,,,,
COL,2,Camilo Vargas,player,1989-03-09,190,,Atlas
COL,3,David Ospina,player,1988-08-31,183,,Atlético Nacional
COL,4,Dávinson Sánchez,player,1996-06-12,187,,Galatasaray
COL,5,Yerry Mina,player,1994-09-23,195,,Cagliari
COL,6,Daniel Munoz,player,,,,
COL,7,Johan Mojica,player,1992-08-21,185,,Mallorca
COL,8,Jhon Lucumí,player,1998-06-26,,,Bologna
COL,9,Santiago Arias,player,1992-01-13,178,,Independiente
COL,10,Jefferson Lerma,player,1994-10-25,179,,Crystal Palace
COL,11,Kevin Castaño,player,2000-09-29,177,,River Plate
COL,12,Richard Rios,player,2000-06-02,185,,Benfica
COL,13,Team Photo,team photo,,,,
COL,14,James Rodriguez,player,1991-07-12,181,,Minnesota United
COL,15,Juan Fernando Quintero,player,1993-01-18,168,,River Plate
COL,16,Jorge Carrascal,player,1998-05-25,180,,Flamengo
COL,17,Jon Arias,player,,,,
COL,18,Jhon Cordova,player,,,,
COL,19,Luis Suarez,player,1987-01-24,182,,Inter Miami
COL,20,Luis Diaz,player,,,,
CPV,1,Team Logo,team logo · foil,,,,
CPV,2,Vozinha,player,1986-06-03,189,,Chaves
CPV,3,Logan Costa,player,2001-04-01,190,,Villarreal
CPV,4,Pico,player,,,,
CPV,5,Diney,player,,,,
CPV,6,Steven Moreira,player,1994-08-13,176,,Columbus Crew
CPV,7,Wagner Pina,player,2002-11-03,180,,Trabzonspor
CPV,8,Joao Paulo,player,,,,
CPV,9,Yannick Semedo,player,1995-12-29,171,,Farense
CPV,10,Kevin Pina,player,,,,
CPV,11,Patrick Andrade,player,1993-02-09,,,Araz-Naxçıvan
CPV,12,Jamiro Monteiro,player,1993-11-23,170,,PEC Zwolle
CPV,13,Team Photo,team photo,,,,
CPV,14,Deroy Duarte,player,1999-07-04,177,,Ludogorets Razgrad
CPV,15,Garry Rodrigues,player,1990-11-27,172,,Apollon Limassol
CPV,16,Jovane Cabral,player,1998-06-14,176,,Estrela Amadora
CPV,17,Ryan Mendes,player,1990-01-08,178,,Iğdır
CPV,18,Dailon Livramento,player,2001-05-04,185,,Casa Pia
CPV,19,Willy Semedo,player,1994-04-27,185,,Omonia
CPV,20,Bebe,player,,,,
CRO,1,Team Logo,team logo · foil,,,,
CRO,2,Dominik Livaković,player,1995-01-09,188,,[[GNK Dinamo Zagreb
CRO,3,Duje Caleta-Car,player,1996-09-17,193,,Real Sociedad
CRO,4,Josko Gvardiol,player,2002-01-23,185,,[[Manchester City F.C.
CRO,5,Josip Stanišić,player,2000-04-02,186,,[[FC Bayern Munich
CRO,6,Luka Vušković,player,2007-02-24,193,,Hamburger SV
CRO,7,Josip Sutalo,player,2000-02-28,185,,[[AFC Ajax
CRO,8,Kristijan Jakic,player,1997-05-14,181,,FC Augsburg
CRO,9,Luka Modrić,player,1985-09-09,172,,AC Milan
CRO,10,Mateo Kovacic,player,1994-05-06,177,,[[Manchester City F.C.
CRO,11,Martin Baturina,player,2003-02-16,172,,[[Como 1907
CRO,12,Lovro Majer,player,1998-01-17,178,,VfL Wolfsburg
CRO,13,Team Photo,team photo,,,,
CRO,14,Mario Pasalic,player,1995-02-09,188,,Atalanta
CRO,15,Petar Sucic,player,2003-10-25,183,,Inter Milan
CRO,16,Ivan Perišić,player,1989-02-02,186,,PSV
CRO,17,Marco Pasalic,player,2000-09-14,177,,Orlando City
CRO,18,Ante Budimir,player,1991-07-22,190,,Osasuna
CRO,19,Andrej Kramarić,player,1991-06-19,177,,TSG Hoffenheim
CRO,20,Franjo Ivanovic,player,2003-10-01,185,,Benfica
CUW,1,Team Logo,team logo · foil,,,,
CUW,2,Eloy Room,player,1989-02-06,190,,Miami FC
CUW,3,Armando Obispo,player,1999-03-05,185,,PSV
CUW,4,Sherel Floranus,player,1998-08-23,185,,PEC Zwolle
CUW,5,Jurien Gaari,player,1993-12-23,180,,Abha
CUW,6,Joshua Brenet,player,1994-03-20,181,,Kayserispor
CUW,7,Roshon Van Eijma,player,,,,
CUW,8,Shurandy Sambo,player,2001-08-19,174,,Sparta Rotterdam
CUW,9,Livano Comenencia,player,2004-02-03,,,Zürich
CUW,10,Godfried Roemeratoe,player,1999-08-19,178,,RKC Waalwijk
CUW,11,Juninho Bacuna,player,1997-08-07,178,,Volendam
CUW,12,Leandro Bacuna,player,1991-08-21,,,Iğdır FK
CUW,13,Team Photo,team photo,,,,
CUW,14,Tahith Chong,player,1999-12-04,185,,Sheffield United
CUW,15,Kenji Gorre,player,1994-09-29,178,,Maccabi Haifa
CUW,16,Jearl Margaritha,player,2000-04-10,181,,Beveren
CUW,17,Jurgen Locadia,player,1993-11-07,185,,Miami FC
CUW,18,Jeremy Antonisse,player,2002-03-29,184,,A.E. Kifisia
CUW,19,Gervane Kastaneer,player,1996-06-09,185,,Terengganu
CUW,20,Sontje Hansen,player,2002-05-18,173,,Middlesbrough
CZE,1,Team Logo,team logo · foil,,,,
CZE,2,Matej Kovar,player,2000-05-17,196,,PSV
CZE,3,Jindrich Stanek,player,,,,
CZE,4,Ladislav Krejci,player,,,,
CZE,5,Vladimir Coufal,player,1992-08-22,174,,TSG Hoffenheim
CZE,6,Jaroslav Zeleny,player,1992-08-20,190,,Sparta Prague
CZE,7,Tomas Holes,player,1993-03-31,180,,Slavia Prague
CZE,8,David Zima,player,2000-11-08,190,,Slavia Prague
CZE,9,Michal Sadilek,player,1999-05-31,169,,Slavia Prague
CZE,10,Lukas Provod,player,1996-10-23,189,,Slavia Prague
CZE,11,Lukas Cerv,player,2001-04-10,182,,Viktoria Plzeň
CZE,12,Tomas Soucek,player,1995-02-27,192,,West Ham United
CZE,13,Team Photo,team photo,,,,
CZE,14,Pavel Sulc,player,2000-12-29,177,,Lyon
CZE,15,Matej Vydra,player,1992-05-01,180,,Viktoria Plzeň
CZE,16,Vasil Kusej,player,,,,
CZE,17,Tomas Chory,player,1995-01-26,199,,Slavia Prague
CZE,18,Vaclav Cerny,player,,,,
